,index,Line_name,Amt_norm,Genotyped
135,163,yp49_D09,0,Fully - (Promoters and enzyme homologs)
136,164,yp49_E09,0,Fully - (Promoters and enzyme homologs)
137,165,yp49_G09,0,Fully - (Promoters and enzyme homologs)
138,143,yp49_B10,0,Fully - (Promoters and enzyme homologs)
139,141,yp50_F01,0,Fully - (Promoters and enzyme homologs)
140,117,yp49_C02,0,Fully - (Promoters and enzyme homologs)
141,128,yp49_E11,0,Fully - (Promoters and enzyme homologs)
142,118,yp50_F12,0,Fully - (Promoters and enzyme homologs)
143,119,yp49_B05,0,Fully - (Promoters and enzyme homologs)
144,120,yp50_D12,0,Fully - (Promoters and enzyme homologs)
145,121,yp49_B12,0,Fully - (Promoters and enzyme homologs)
146,122,yp50_F06,0,Fully - (Promoters and enzyme homologs)
147,123,yp49_F10,0,Fully - (Promoters and enzyme homologs)
148,124,yp49_G10,0,Fully - (Promoters and enzyme homologs)
149,125,yp50_B06,0,Fully - (Promoters and enzyme homologs)
150,126,yp50_G05,0,Fully - (Promoters and enzyme homologs)
151,127,yp49_B11,0,Fully - (Promoters and enzyme homologs)
152,129,yp50_B05,0,Fully - (Promoters and enzyme homologs)
153,140,yp50_E01,0,Fully - (Promoters and enzyme homologs)
154,130,yp49_C01,0,Fully - (Promoters and enzyme homologs)
155,131,yp50_E04,0,Fully - (Promoters and enzyme homologs)
156,132,yp49_C10,0,Fully - (Promoters and enzyme homologs)
157,133,yp49_D12,0,Fully - (Promoters and enzyme homologs)
158,134,yp50_C04,0,Fully - (Promoters and enzyme homologs)
159,135,yp50_B04,0,Fully - (Promoters and enzyme homologs)
160,136,yp50_A04,0,Fully - (Promoters and enzyme homologs)
161,137,yp49_E12,0,Fully - (Promoters and enzyme homologs)
162,138,yp50_E03,0,Fully - (Promoters and enzyme homologs)
163,139,yp50_C01,0,Fully - (Promoters and enzyme homologs)
164,95,yp50_E12,0,Fully - (Promoters and enzyme homologs)
165,73,yp51_E05,0,Fully - (Promoters and enzyme homologs)
166,93,yp49_B03,0,Fully - (Promoters and enzyme homologs)
167,92,yp50_G12,0,Fully - (Promoters and enzyme homologs)
168,177,yp49_A12,0,Partially - (only enzyme homologs)
169,176,yp49_A11,0,Partially - (only enzyme homologs)
170,175,yp49_A10,0,Partially - (only enzyme homologs)
171,171,yp49_A05,0,Partially - (only enzyme homologs)
172,166,yp49_C05,0,Partially - (only enzyme homologs)
173,162,yp49_E02,0,Partially - (only enzyme homologs)
174,159,yp49_D11,0,Partially - (only enzyme homologs)
175,158,yp49_D10,0,Partially - (only enzyme homologs)
176,155,yp49_D06,0,Partially - (only enzyme homologs)
177,153,yp49_D03,0,Partially - (only enzyme homologs)
178,150,yp49_C12,0,Partially - (only enzyme homologs)
179,148,yp49_C08,0,Partially - (only enzyme homologs)
180,147,yp49_C07,0,Partially - (only enzyme homologs)
181,146,yp49_C06,0,Partially - (only enzyme homologs)
182,139,yp51_E06,0,Partially - (only enzyme homologs)
183,235,yp50_B01,0,Partially - (only enzyme homologs)
184,234,yp50_A11,0,Partially - (only enzyme homologs)
185,232,yp50_A01,0,Partially - (only enzyme homologs)
186,206,yp50_E10,0,Partially - (only enzyme homologs)
187,185,yp49_B09,0,Partially - (only enzyme homologs)
188,190,yp49_E08,0,Partially - (only enzyme homologs)
189,195,yp50_C06,0,Partially - (only enzyme homologs)
190,196,yp50_C11,0,Partially - (only enzyme homologs)
191,198,yp50_D10,0,Partially - (only enzyme homologs)
192,205,yp50_E09,0,Partially - (only enzyme homologs)
193,209,yp50_F02,0,Partially - (only enzyme homologs)
194,231,yp49_H12,0,Partially - (only enzyme homologs)
195,210,yp50_F03,0,Partially - (only enzyme homologs)
196,213,yp50_F11,0,Partially - (only enzyme homologs)
197,226,yp49_H02,0,Partially - (only enzyme homologs)
198,227,yp49_H03,0,Partially - (only enzyme homologs)
199,228,yp49_H04,0,Partially - (only enzyme homologs)
200,230,yp49_H06,0,Partially - (only enzyme homologs)
201,137,yp51_E03,0,Partially - (only enzyme homologs)
202,135,yp51_E01,0,Partially - (only enzyme homologs)
203,124,yp51_D04,0,Partially - (only enzyme homologs)
204,84,yp51_E02,0,Fully - (Promoters and enzyme homologs)
205,78,yp51_E04,0,Fully - (Promoters and enzyme homologs)
206,79,yp51_C04,0,Fully - (Promoters and enzyme homologs)
207,80,yp49_E03,0,Fully - (Promoters and enzyme homologs)
208,81,yp51_B03,0,Fully - (Promoters and enzyme homologs)
209,82,yp51_A03,0,Fully - (Promoters and enzyme homologs)
210,83,yp51_B06,0,Fully - (Promoters and enzyme homologs)
211,85,yp51_D02,0,Fully - (Promoters and enzyme homologs)
212,76,yp51_B05,0,Fully - (Promoters and enzyme homologs)
213,86,yp51_C02,0,Fully - (Promoters and enzyme homologs)
214,87,yp51_B02,0,Fully - (Promoters and enzyme homologs)
215,88,yp49_A04,0,Fully - (Promoters and enzyme homologs)
216,89,yp49_B04,0,Fully - (Promoters and enzyme homologs)
217,90,yp49_C04,0,Fully - (Promoters and enzyme homologs)
218,91,yp49_D04,0,Fully - (Promoters and enzyme homologs)
219,77,yp49_C03,0,Fully - (Promoters and enzyme homologs)
220,75,yp51_C05,0,Fully - (Promoters and enzyme homologs)
221,122,yp51_D01,0,Partially - (only enzyme homologs)
222,102,yp51_C08,0,Partially - (only enzyme homologs)
223,117,yp50_H12,0,Partially - (only enzyme homologs)
224,114,yp51_H12,0,Partially - (only enzyme homologs)
225,109,yp51_B10,0,Partially - (only enzyme homologs)
226,108,yp51_B07,0,Partially - (only enzyme homologs)
227,107,yp51_A09,0,Partially - (only enzyme homologs)
228,106,yp51_B12,0,Partially - (only enzyme homologs)
229,100,yp51_B04,0,Partially - (only enzyme homologs)
230,74,yp51_D05,0,Fully - (Promoters and enzyme homologs)
231,99,yp50_H04,0,Partially - (only enzyme homologs)
232,98,yp50_C09,0,Partially - (only enzyme homologs)
233,94,yp50_B09,0,Partially - (only enzyme homologs)
234,92,yp51_B08,0,Partially - (only enzyme homologs)
235,72,yp50_G02,0,Fully - (Promoters and enzyme homologs)
236,184,yp49_B08,0,Partially - (only enzyme homologs)
237,166,yp49_A01,0,Fully - (Promoters and enzyme homologs)
