,G8H,pG8H,pCPR,CPR,Predicted_stric_production
242,Smus,PCK1,TPI1,Ani,17.959412486690997
243,Smus,PCK1,TPI1,Cro,17.959412486690997
244,Smus,PCK1,TPI1,Oeu,17.959412486690997
245,Smus,PCK1,TPI1,Cac,17.959412486690997
246,Smus,PCK1,TPI1,Aan,17.959412486690997
247,Smus,PCK1,TPI1,Ara,17.959412486690997
248,Smus,PCK1,TPI1,Clo,17.959412486690997
249,Smus,PCK1,TPI1,Rse,17.959412486690997
250,Smus,PCK1,TPI1,Ahu,17.959412486690997
251,Smus,PCK1,TPI1,Cpo,17.959412486690997
252,Smus,RPL15B,TPI1,Ani,17.342597505586692
253,Smus,RPL15B,TPI1,Ara,17.342597505586692
254,Smus,RPL15B,TPI1,Aan,17.342597505586692
255,Smus,RPL15B,TPI1,Ahu,17.342597505586692
256,Smus,RPL15B,TPI1,Cpo,17.342597505586692
257,Smus,RPL15B,TPI1,Oeu,17.342597505586692
258,Smus,RPL15B,TPI1,Cac,17.342597505586692
259,Oeu,CYC1,TPI1,Cac,16.217809444550753
260,Oeu,CYC1,TPI1,Cro,16.217809444550753
261,Oeu,CYC1,TPI1,Ani,16.217809444550753
262,Oeu,CYC1,TPI1,Oeu,16.217809444550753
263,Oeu,CYC1,TPI1,Ahu,16.217809444550753
264,Oeu,CYC1,TPI1,Rse,16.217809444550753
265,Oeu,CYC1,TPI1,Clo,16.217809444550753
266,Oeu,CYC1,TPI1,Aan,16.217809444550753
267,Oeu,CYC1,TPI1,Cpo,16.217809444550753
268,Cro,ENO2,URE2,Ahu,16.082591284183913
269,Cro,ENO2,URE2,Cpo,16.082591284183913
270,Cro,ENO2,URE2,Rse,16.082591284183913
271,Cro,ENO2,URE2,Clo,16.082591284183913
272,Cro,ENO2,URE2,Ara,16.082591284183913
273,Cro,ENO2,URE2,Aan,16.082591284183913
274,Cro,ENO2,URE2,Cro,16.082591284183913
275,Cro,ENO2,URE2,Ani,16.082591284183913
276,Cro,ENO2,URE2,Cac,16.082591284183913
277,Cro,ENO2,URE2,Oeu,16.082591284183913
278,Vmin,ENO2,URE2,Ara,14.53511829651438
279,Vmin,ENO2,URE2,Cpo,14.53511829651438
280,Vmin,ENO2,URE2,Oeu,14.53511829651438
281,Vmin,ENO2,URE2,Cac,14.53511829651438
282,Vmin,ENO2,URE2,Cro,14.53511829651438
283,Vmin,ENO2,URE2,Ani,14.53511829651438
284,Vmin,ENO2,URE2,Ahu,14.53511829651438
285,Vmin,ENO2,URE2,Clo,14.53511829651438
286,Vmin,ENO2,URE2,Aan,14.53511829651438
287,Ccal,CYC1,CCW12,Oeu,13.930932662413577
288,Ccal,CYC1,CCW12,Cpo,13.930932662413577
289,Ccal,CYC1,CCW12,Cac,13.930932662413577
290,Ccal,CYC1,CCW12,Cro,13.930932662413577
291,Ccal,CYC1,CCW12,Aan,13.930932662413577
292,Ccal,CYC1,CCW12,Ara,13.930932662413577
293,Ccal,CYC1,CCW12,Clo,13.930932662413577
294,Ccal,CYC1,CCW12,Rse,13.930932662413577
295,Ccal,CYC1,CCW12,Ani,13.930932662413577
296,Ccal,CYC1,CCW12,Ahu,13.930932662413577
297,Vmin,ENO2,MLS1,Rse,13.54094570450274
298,Vmin,ENO2,MLS1,Cro,13.54094570450274
299,Vmin,ENO2,MLS1,Aan,13.54094570450274
300,Vmin,ENO2,MLS1,Cpo,13.54094570450274
301,Vmin,ENO2,MLS1,Oeu,13.54094570450274
302,Vmin,ENO2,MLS1,Cac,13.54094570450274
303,Vmin,ENO2,MLS1,Ani,13.54094570450274
304,Vmin,ENO2,MLS1,Ahu,13.54094570450274
305,Vmin,ENO2,MLS1,Clo,13.54094570450274
306,Vmin,ENO2,MLS1,Ara,13.54094570450274
307,Opum,ENO2,URE2,Clo,10.912468023169904
308,Opum,ENO2,URE2,Ara,10.912468023169904
309,Opum,ENO2,URE2,Aan,10.912468023169904
310,Opum,ENO2,URE2,Cro,10.912468023169904
311,Opum,ENO2,URE2,Cpo,10.912468023169904
312,Opum,ENO2,URE2,Oeu,10.912468023169904
313,Opum,ENO2,URE2,Cac,10.912468023169904
314,Opum,ENO2,URE2,Ani,10.912468023169904
315,Opum,ENO2,URE2,Ahu,10.912468023169904
316,Opum,ENO2,URE2,Rse,10.912468023169904
317,Smus,CYC1,MLS1,Rse,10.848924550574203
318,Smus,CYC1,MLS1,Cpo,10.848924550574203
319,Smus,CYC1,MLS1,Oeu,10.848924550574203
320,Smus,CYC1,MLS1,Ani,10.848924550574203
321,Smus,CYC1,MLS1,Ahu,10.848924550574203
322,Smus,CYC1,MLS1,Cac,10.848924550574203
323,Smus,CYC1,MLS1,Clo,10.848924550574203
324,Smus,CYC1,MLS1,Ara,10.848924550574203
325,Smus,CYC1,MLS1,Cro,10.848924550574203
326,Smus,CYC1,MLS1,Aan,10.848924550574203
327,Rsep,CYC1,URE2,Cac,9.775377284507773
328,Rsep,CYC1,URE2,Ani,9.775377284507773
329,Rsep,CYC1,URE2,Ahu,9.775377284507773
330,Rsep,CYC1,URE2,Rse,9.775377284507773
331,Rsep,CYC1,URE2,Clo,9.775377284507773
332,Rsep,CYC1,URE2,Cpo,9.775377284507773
333,Rsep,CYC1,URE2,Cro,9.775377284507773
334,Rsep,CYC1,URE2,Oeu,9.775377284507773
335,Rsep,CYC1,URE2,Ara,9.775377284507773
336,Cro,CYC1,URE2,Cpo,8.145571064869971
337,Cro,CYC1,URE2,Oeu,8.145571064869971
338,Cro,CYC1,URE2,Cac,8.145571064869971
339,Cro,CYC1,URE2,Ani,8.145571064869971
340,Cro,CYC1,URE2,Ahu,8.145571064869971
341,Cro,CYC1,URE2,Rse,8.145571064869971
342,Cro,CYC1,URE2,Aan,8.145571064869971
343,Cro,CYC1,URE2,Cro,8.145571064869971
344,Vmin,RPL15B,TPI1,Rse,8.099176367428914
345,Vmin,RPL15B,TPI1,Ani,8.099176367428914
346,Vmin,RPL15B,TPI1,Ahu,8.099176367428914
347,Vmin,RPL15B,TPI1,Clo,8.099176367428914
348,Vmin,RPL15B,TPI1,Cpo,8.099176367428914
349,Vmin,RPL15B,TPI1,Oeu,8.099176367428914
350,Vmin,RPL15B,TPI1,Cac,8.099176367428914
351,Oeu,PCK1,TPI1,Cro,8.092894955393794
352,Oeu,PCK1,TPI1,Aan,8.092894955393794
353,Oeu,PCK1,TPI1,Cpo,8.092894955393794
354,Oeu,PCK1,TPI1,Ara,8.092894955393794
355,Oeu,PCK1,TPI1,Clo,8.092894955393794
356,Oeu,PCK1,TPI1,Rse,8.092894955393794
357,Oeu,PCK1,TPI1,Ahu,8.092894955393794
358,Oeu,PCK1,TPI1,Oeu,8.092894955393794
359,Oeu,PCK1,TPI1,Ani,8.092894955393794
360,Oeu,PCK1,TPI1,Cac,8.092894955393794
361,Ccal,ENO2,URE2,Ani,7.813276403562538
362,Ccal,ENO2,URE2,Ahu,7.813276403562538
363,Ccal,ENO2,URE2,Rse,7.813276403562538
364,Ccal,ENO2,URE2,Clo,7.813276403562538
365,Ccal,ENO2,URE2,Ara,7.813276403562538
366,Ccal,ENO2,URE2,Aan,7.813276403562538
367,Ccal,ENO2,URE2,Cro,7.813276403562538
