ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,2,C,11,,,,,,ds_dna_plates,,,
,,,2,C,12,,,,,,ds_dna_plates,,,
,,,2,D,1,,,,,,ds_dna_plates,,,
,,,2,D,2,,,,,,ds_dna_plates,,,
,,,2,D,3,,,,,,ds_dna_plates,,,
,,,2,D,4,,,,,,ds_dna_plates,,,
,,,2,D,5,,,,,,ds_dna_plates,,,
,,,2,D,6,,,,,,ds_dna_plates,,,
,,,2,D,7,,,,,,ds_dna_plates,,,
,,,2,D,8,,,,,,ds_dna_plates,,,
,,,2,D,9,,,,,,ds_dna_plates,,,
,,,2,D,10,,,,,,ds_dna_plates,,,
,,,2,D,11,,,,,,ds_dna_plates,,,
,,,2,D,12,,,,,,ds_dna_plates,,,
,,,2,E,1,,,,,,ds_dna_plates,,,
,,,2,E,2,,,,,,ds_dna_plates,,,
,,,2,E,3,,,,,,ds_dna_plates,,,
,,,2,E,4,,,,,,ds_dna_plates,,,
,,,2,E,5,,,,,,ds_dna_plates,,,
,,,2,E,6,,,,,,ds_dna_plates,,,
,,,2,E,7,,,,,,ds_dna_plates,,,
,,,2,E,8,,,,,,ds_dna_plates,,,
,,,2,E,9,,,,,,ds_dna_plates,,,
,,,2,E,10,,,,,,ds_dna_plates,,,
,,,2,E,11,,,,,,ds_dna_plates,,,
,,,2,E,12,,,,,,ds_dna_plates,,,
,,,2,F,1,,,,,,ds_dna_plates,,,
,,,2,F,2,,,,,,ds_dna_plates,,,
,,,2,F,3,,,,,,ds_dna_plates,,,
,,,2,F,4,,,,,,ds_dna_plates,,,
,,,2,F,5,,,,,,ds_dna_plates,,,
,,,2,F,6,,,,,,ds_dna_plates,,,
,,,2,F,7,,,,,,ds_dna_plates,,,
,,,2,F,8,,,,,,ds_dna_plates,,,
,,,2,F,9,,,,,,ds_dna_plates,,,
,,,2,F,10,,,,,,ds_dna_plates,,,
,,,2,F,11,,,,,,ds_dna_plates,,,
,,,2,F,12,,,,,,ds_dna_plates,,,
,,,2,G,1,,,,,,ds_dna_plates,,,
,,,2,G,2,,,,,,ds_dna_plates,,,
,,,2,G,3,,,,,,ds_dna_plates,,,
,,,2,G,4,,,,,,ds_dna_plates,,,
,,,2,G,5,,,,,,ds_dna_plates,,,
,,,2,G,6,,,,,,ds_dna_plates,,,
,,,2,G,7,,,,,,ds_dna_plates,,,
,,,2,G,8,,,,,,ds_dna_plates,,,
,,,2,G,9,,,,,,ds_dna_plates,,,
,,,2,G,10,,,,,,ds_dna_plates,,,
,,,2,G,11,,,,,,ds_dna_plates,,,
,,,2,G,12,,,,,,ds_dna_plates,,,
,,,2,H,1,,,,,,ds_dna_plates,,,
,,,2,H,2,,,,,,ds_dna_plates,,,
,,,2,H,3,,,,,,ds_dna_plates,,,
,,,2,H,4,,,,,,ds_dna_plates,,,
,,,2,H,5,,,,,,ds_dna_plates,,,
,,,2,H,6,,,,,,ds_dna_plates,,,
,,,2,H,7,,,,,,ds_dna_plates,,,
,,,2,H,8,,,,,,ds_dna_plates,,,
,,,2,H,9,,,,,,ds_dna_plates,,,
,,,2,H,10,,,,,,ds_dna_plates,,,
,,,2,H,11,,,,,,ds_dna_plates,,,
,,,2,H,12,,,,,,ds_dna_plates,,,
,,,3,A,1,,,,,,ds_dna_plates,,,
,,,3,A,2,,,,,,ds_dna_plates,,,
,,,3,A,3,,,,,,ds_dna_plates,,,
,,,3,A,4,,,,,,ds_dna_plates,,,
,,,3,A,5,,,,,,ds_dna_plates,,,
,,,3,A,6,,,,,,ds_dna_plates,,,
,,,3,A,7,,,,,,ds_dna_plates,,,
,,,3,A,8,,,,,,ds_dna_plates,,,
,,,3,A,9,,,,,,ds_dna_plates,,,
,,,3,A,10,,,,,,ds_dna_plates,,,
